M;Plukrute;Ordre;Returordre reference;Ekspeditionsstatus;Navn;Ønsket modtagelsesdato;Gadenavn;Postnummer;Følgeseddel;Afhentning;Afhentningsdato;Leverings UGE;Lagersted;Ordrekategori;Flådeejer;Udskrevet;Rute;FV;Projekt;Latitude;Longitude
false;350592;0726936;;Fuldført;VEDBÆK KØLETEKNIK;13-06-2018;Kongevejen 227;2830;3868167;Nej;;;4;Service;;Nej;Nord Sjælland;Ja;Kongevejen 227;57.056546;10.346448
false;350247;0727308;;Fuldført;Coolers Køleteknik Ivs;14-06-2018;Grevindevej 5;4682;3863372;Nej;;;4;Service;;Nej;Syd Sjælland;Nej;Grevindevej 5;55.377545;12.075425
false;350237;0728450;;Fuldført;COMBIKØL I/S;19-06-2018;Skagen Landevej 841;9800;3863213;Nej;;;4;Service;;Nej;Nord Jylland;Nej;Skagen Landevej 841;57.565742;10.109837
false;350238;0728335;;Fuldført;CLIMATE A/S;19-06-2018;Farum Gydevej 77;3520;3863264;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350054;0729254;;Fuldført;Blue Water Shipping;21-06-2018;Herluf Trollesvej 3Port 1-8;9850;3856958;Nej;;;4;Nykøb;;Nej;Nord Jylland;Ja;Herluf Trollesvej 3Port 1-8;0;0
false;350585;0730071;;Fuldført;VOLVO TRUCK CENTER DANMARK A/S;25-06-2018;Taastrupgårdsvej 32;2630;3868168;Nej;;;4;Service;;Nej;København;Nej;Taastrupgårdsvej 32;55.655321;12.285316
false;350791;0729787;;Fuldført;CARRIER REFRIGERATION KOLDING;25-06-2018;Dieselvej 7;6000;3869572;Nej;;;4;Service;;Nej;Sønderjylland;Nej;Dieselvej 7;55.7467609;9.588188
false;350549;0730333;;Fuldført;FERIECENTER NORDSØEN;26-06-2018;Høkervej 5;9492;3867842;Nej;;;4;Service;;Nej;Nord Jylland;Nej;Høkervej 5;57.252529;9.580707
false;350015;0730264;;Fuldført;FULLRATE A/S;26-06-2018;Jagtvej 169B;2100;3856739;Nej;;;4;Service;;Nej;København;Nej;Jagtvej 169B;55.706185;12.561566
false;350705;0730452;;Fuldført;CLIMATE A/S;26-06-2018;Farum Gydevej 77;3520;3869222;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350249;0731067;;Fuldført;LØRSLEV HVIDEVARESERVICE - 12912;28-06-2018;Mølgårdsvej 201;9800;3863283;Nej;;;4;Service;;Nej;Nord Jylland;Nej;Mølgårdsvej 201;57.439716;10.105198
false;350966;0731118;;Fuldført;MARTIN ELKÆR (Rynkeby);28-06-2018;Holmegaardsvej 53;4684;3871511;Nej;;;4;Service;;Nej;Syd Sjælland;Nej;Holmegaardsvej 53;55.277032;11.815399
false;350037;0731504;;Fuldført;ÅBYBRO BAGEREN;29-06-2018;Østergade 10;9440;3863059;Nej;;;4;Service;;Nej;Nord Jylland;Ja;Østergade 10;55.6799766;12.5834713
false;350044;0731542;;Fuldført;RESTAURANT COLOSSEUM;29-06-2018;Sønder Havnegade 24;6400;3856940;Nej;;;4;Service;;Nej;Sønderjylland;Nej;Sønder Havnegade 24;54.909429;9.785777
false;350002;0731431;;Fuldført;CLIMATE A/S;29-06-2018;Farum Gydevej 77;3520;3856716;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350003;0731439;;Fuldført;A.P. KØLESERVICE ApS;29-06-2018;Valseholmen 6-8;2650;3856725;Nej;;;4;Service;;Nej;København;Nej;Valseholmen 6-8;54.39856;11.12285
false;350006;0731446;;Fuldført;CLIMATE A/S;29-06-2018;Farum Gydevej 77;3520;3856728;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350009;0731449;;Fuldført;CLIMATE A/S;29-06-2018;Farum Gydevej 77;3520;3856730;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350091;0731598;;Fuldført;VOJENS KØLETEKNIK;29-06-2018;Roskildevej 519ATT: 0138Vojens KøleteknikKasper Pedersen;2605;3863286;Nej;;;4;Service;;Nej;København;Nej;Roskildevej 519ATT: 0138Vojens KøleteknikKasper Pe...;0;0
false;350094;0731611;;Fuldført;Emmerys;29-06-2018;Jagtvej 109;;;;;;;;;;;;Jagtvej 109, st;35.6595989;139.6987616
false;350173;0731719;;Fuldført;7-ELEVEN - 467;29-06-2018;Grenåvej 189;8240;3863374;Nej;;;4;Service;;Nej;Øst Jylland;Nej;Grenåvej 189;56.195432;10.21929
false;350208;0731753;;Fuldført;Wedofood;02-07-2018;Gammel Kongevej 176;1850;3863376;Nej;;;4;Service;;Nej;København;Ja;Gammel Kongevej 176;55.678288;12.533999
false;350209;0731766;;Fuldført;Kemp & Lauritzen A/S;02-07-2018;Stamholmen 110;2650;3863294;Nej;;;4;Service;;Nej;København;Nej;Stamholmen 110;55.613585;12.466355
false;350220;0731797;;Fuldført;Thomas Harm;02-07-2018;Kostervej 80B;;;;;;;;;;;;Kostervej 80B, Koster;54.980383;12.187425
false;350098;0731616;;Fuldført;Hallernes Smørrebrød;02-07-2018;Tivoli Food HallBernstorffsgade 3;1577;3863391;Nej;;;4;Nykøb;;Nej;København;Ja;Tivoli Food HallBernstorffsgade 3;0;0
false;350172;0731715;;Fuldført;BFGS SIA;02-07-2018;Kooperativa 4a-37;LV-1067;3862893;Nej;;;4;Nykøb;;Nej;Eksport;Ja;Kooperativa 4a-37;13.6285903;-86.4832543
false;350274;0731885;;Fuldført;CLIMATE A/S;02-07-2018;Farum Gydevej 77;3520;3865362;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350275;0731972;;Fuldført;VM ELEKTRO A/S;02-07-2018;Gårsdalvej 20;;;;;;;;;;;;Gårsdalvej 20, Ravnstrup KONTO: 73198;0;0
false;350289;0731999;;Fuldført;RP Maskinservice ApS;02-07-2018;Bizonvej 7;9293;3863737;Nej;;;4;Service;;Nej;Nord Jylland;Nej;Bizonvej 7;56.896543;10.102237
false;350302;0732023;;Fuldført;Holbæk Køl;02-07-2018;Søndergade 18;4534;3863649;Nej;;;4;Service;;Nej;Vest Sjælland;Nej;Søndergade 18;56.134882;8.975906
false;350313;0732069;;Fuldført;Restaurant Tight;02-07-2018;Hyskenstræde 10;1207;3863735;Nej;;;4;Reservedele;;Nej;København;Ja;Hyskenstræde 10;55.678134;12.576461
false;350333;0732100;;Fuldført;BRØNDUM ELEKTRO;02-07-2018;Tagtækkervej 21;8800;3865318;Nej;;;4;Service;;Nej;Øst Jylland;Nej;Tagtækkervej 21;56.471117;9.401773
false;350385;0732206;;Fuldført;Climate A/S;02-07-2018;Jegindøvej 4;8800;3865499;Nej;;;4;Service;;Nej;Øst Jylland;Nej;Jegindøvej 4;56.695516;8.2117
false;350396;0731885;;Fuldført;CLIMATE A/S;02-07-2018;Farum Gydevej 77;3520;3865357;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350398;0732232;;Fuldført;Østjysk Køleteknik ApS;03-07-2018;Bakketoften 13 F;8541;3865810;Nej;;;4;Service;;Nej;Djursland;Nej;Bakketoften 13 F;56.255985;10.299008
false;350422;0732276;;Fuldført;Kemp og Lauritzen A/S;03-07-2018;Albuen 60;6000;3865799;Nej;;;4;Service;;Nej;Sønderjylland;Nej;Albuen 60;55.514295;9.453461
false;350437;0732334;;Fuldført;H.C.Andersen Huset;03-07-2018;Nyvej 18;3360;3865812;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Nyvej 18;55.6753109;12.5394713
false;350458;0732402;;Fuldført;OK PLUS - 063231-5;03-07-2018;Ilskovvej 4;7451;3866028;Nej;;;4;Reservedele;;Nej;Vest Jylland;Ja;Ilskovvej 4;56.200505;9.020099
false;350488;0732459;;Fuldført;CLIMATE A/S;03-07-2018;Farum Gydevej 77;3520;3866245;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350510;0732492;;Fuldført;HJ Storkøkkenservice;03-07-2018;Trekronergade 149 E;2500;3867847;Nej;;;4;Reservedele;;Nej;København;Nej;Trekronergade 149 E;55.652043;12.521074
false;350525;0732521;;Fuldført;Coolers Køleteknik Ivs;03-07-2018;Grevindevej 5;4682;3868120;Nej;;;4;Service;;Nej;Syd Sjælland;Nej;Grevindevej 5;55.377545;12.075425
false;350535;0732543;;Fuldført;Coolers Køleteknik Ivs;04-07-2018;Grevindevej 5;4682;3867841;Nej;;;4;Service;;Nej;Syd Sjælland;Nej;Grevindevej 5;55.377545;12.075425
false;350567;0732583;;Fuldført;VM ELEKTRO A/S;04-07-2018;Gårsdalvej 20;;;;;;;;;;;;Gårsdalvej 20, Ravnstrup KONTO: 73198;0;0
false;350576;0732635;;Fuldført;Coolers Køleteknik Ivs;04-07-2018;Grevindevej 5;4682;3868131;Nej;;;4;Service;;Nej;Syd Sjælland;Nej;Grevindevej 5;55.377545;12.075425
false;350596;0732667;;Fuldført;SKIPPERS KØLETEKNIK;04-07-2018;Nørremarksvej 53;9270;3868218;Nej;;;4;Reservedele;;Nej;Midt Nord Jylland;Nej;Nørremarksvej 53;57.017099;10.053476
false;350623;0732705;;Fuldført;Holbæk Køl;04-07-2018;Søndergade 18;4534;3868343;Nej;;;4;Service;;Nej;Vest Sjælland;Nej;Søndergade 18;56.134882;8.975906
false;350661;0732770;;Fuldført;CLIMATE A/S;04-07-2018;Farum Gydevej 77;3520;3868610;Nej;;;4;Service;;Nej;Nord Sjælland;Nej;Farum Gydevej 77;55.82088;12.362469
false;350664;0732788;;Fuldført;MÅLØV SKOLE;04-07-2018;Kratvej 14;2760;3869311;Nej;;;4;Reservedele;;Nej;København;Nej;Kratvej 14;56.14643;9.809343
false;350675;0732806;;Fuldført;Stig Pedersen;04-07-2018;Reimersvej 16Må sættes i Carport;8963;3869315;Nej;;;4;Reservedele;;Nej;Djursland;Nej;Reimersvej 16Må sættes i Carport;0;0
false;350680;0732821;;Fuldført;NORDIC COOLING SOLUTIONS AB;04-07-2018;Norsavägen 38;SE-731 98;3869256;Nej;;;4;Reservedele;;Nej;;Nej;Norsavägen 38;3.2519224;31.2703544
false;350691;0732846;;Fuldført;VIBOCOLD A/S;04-07-2018;Livøvej 22;8800;3869372;Nej;;;4;Nykøb;;Nej;Øst Jylland;Nej;Livøvej 22;57.007125;8.961579
false;350694;0732850;;Fuldført;FUGLSANGCENTRET;04-07-2018;Søndermarksvej 150;7000;3869303;Nej;;;4;Service;;Nej;Sønderjylland;Ja;Søndermarksvej 150;55.409166;11.39057
false;350508;0732413;;Fuldført;FIRST CHOICE CATERING SPARES LTD;04-07-2018;BLAKENEY WAYKINGSWOOD LAKESIDECANNOCK;BGWS11 8LD;3868068;Nej;;;4;Nykøb;;Nej;;Nej;BLAKENEY WAYKINGSWOOD LAKESIDECANNOCK;0;0
false;350354;0732041;;Fuldført;CINEMA 3 SKIVE;04-07-2018;Skyttevej 12;7800;3865500;Nej;;;4;Reservedele;;Nej;Mors Thy;Nej;Skyttevej 12;55.295229;9.048198
