Leverandør;Varenummer;Højde;Dybde;Bruttohøjde;Bruttodybde;Bruttobredde;Bredde;Varenavn;Søgenavn;Varegruppe;Varetype;LøftesAlene;Løfter;FlytteTid;Fyld (m3)
866266060;AHT AC W FLOWER;;;1.495,00;766;914;;AHT AC Flower - blomsterkøler med 2 hylder;Blomsterkøler;1030;Vare;Ja;Ja;5;1,04668538
866266060;AHT MINI;;;1.220,00;527;460;;Skaffe vare - AHT MINI - convenience køler - 82L;Conveniencekøler;1030;Vare;Ja;Ja;5;0,2957524
866266060;AHT MINI STARBUCKS;;;1.220,00;527;460;;Skaffe vare - Convenience køler;Conveniencekøler;1030;Vare;Ja;Ja;5;0,2957524
91518801;AIDA 120 BO M;;;1.300,00;770;1.200,00;;AIDA 120 BO M - SORT - Convenience køler - BAKE OFF;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 HC M;;;1.300,00;770;1.200,00;;AIDA 120 HC M - SORT - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 HC M GULD;;;1.300,00;770;1.200,00;;AIDA 120 HC M - GULD - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 HC M GULD S;;;1.300,00;770;1.200,00;;AIDA 120 HC M - GULD - Convenience køler - ombygget;Conveniencekøler;1030;Stykliste;Nej;Ja;10;1,2012
91518801;AIDA 120 HC STS;;;1.300,00;770;1.200,00;;AIDA 120 HC M - Rustfri - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SO A;;;1.300,00;770;1.200,00;;AIDA 120 SO A -  SORT - Convenience - Neutral;Convenience;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SO M;;;1.300,00;770;1.200,00;;AIDA 120 SO M - SORT - Convenience køler;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SO M HC RET;;;1.300,00;700;1.200,00;;AIDA 120 HC M - SORT - Convenience køler - konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,092
91518801;AIDA 120 SO M REM S;;;1.300,00;700;1.200,00;;AIDA 120 SO M REMOTE - Kagedisk med LED lys;Conveniencekøler;1030;Stykliste;Nej;Ja;10;1,092
91518801;AIDA 120 SO M REMOTE;;;1.300,00;700;1.200,00;;AIDA 120 SO M REMOTE - Kagedisk med LED lys;Conveniencekøler;1030;Vare;Nej;Ja;10;1,092
91518801;AIDA 120 SO M RETRO;;;1.300,00;770;1.200,00;;AIDO 120 SO M - SORT - Convenience køler;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SO M STS;;;1.300,00;770;1.200,00;;AIDO 120 SO M - RUSTFRI - Convenience køler;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SS 0;;;1.300,00;770;1.200,00;;AIDA 120 SS 0 - SORT - Convenience køler;Convenience køler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SS 0 STS;;;1.300,00;770;1.200,00;;AIDA 120 SS M - RUSTFRI - Convenience køler;Convenience køler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SS M;;;1.300,00;770;1.200,00;;AIDA 120 SS M - SORT - Convenience - Selvbetjeningskøler;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SS SO RETRO;;;1.300,00;770;1.200,00;;AIDO 120 SO/SF  M - SORT - Convenience køler;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 120 SSO M;;;1.300,00;770;1.200,00;;AIDA 120 SO M - SORT - Convenience køler;Conveniencekøler;1030;Vare;Nej;Ja;10;1,2012
91518801;AIDA 150 HC M;;;1.300,00;770;1.500,00;;AIDA 150 HC M - SORT - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,5015
91518801;AIDA 150 HC M GULD;;;1.300,00;770;1.500,00;;AIDA 150 HC - GULD - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,5015
91518801;AIDA 150 SO A;;;1.300,00;770;1.500,00;;AIDA 150 SO A - Kagedisk med LED lys;Convenience;1030;Vare;Nej;Ja;10;1,5015
91518801;AIDA 150 SO HC RETRO;;;1.300,00;770;1.500,00;;AIDA 150 HC M - SORT - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Nej;Ja;10;1,5015
91518801;AIDA 150 SO M;;;1.300,00;770;1.500,00;;AIDA 150 SO M - Kagedisk med LED lys;Conveniencekøler;1030;Vare;Nej;Ja;10;1,5015
91518801;AIDA 150 SO M RETRO;;;1.300,00;770;1.500,00;;AIDA 150 SO M RETRO - Kagedisk med LED lys;Conveniencekøler;1030;Vare;Nej;Ja;10;1,5015
91518801;AIDA 60 BO A;;;1.300,00;770;600;;AIDA 60 BO A -  SORT - Convenience - Neutral;Conveniencekøler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 BO M;;;1.300,00;770;600;;AIDA 60 BO M - SORT - Convenience køler - BAKE OFF;Conveniencekøler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 SO 0 STS;;;1.300,00;770;600;;AIDA 60 SO M - RUSTFRI - Convenience køler;Convenience køler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 SO A;;;1.300,00;770;600;;AIDA 60 SO A -  SORT - Convenience - Neutral;Conveniencekøler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 SO A STS;;;1.300,00;770;600;;AIDA 60 SO A STS - Betjeningsdisk - RUSTFRI -  LED lys;Convenience køler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 SO M;;;1.300,00;770;600;;AIDA 60 SO M - SORT - Convenience køler;Convenience køler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 SO M RETRO;;;1.300,00;770;600;;AIDA 60 SO M RETRO - SORT - Convenience køler;Conveniencekøler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 60 SO M STS;;;1.300,00;770;600;;AIDA 60 SO M - RUSTFRI - Convenience køler;Convenience køler;1030;Vare;Ja;Ja;5;0,6006
91518801;AIDA 90 BO A;;;1.300,00;770;900;;AIDA 90 BO - SORT - Convenience - Neutral - BAKE-OFF;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 BO M;;;1.300,00;770;900;;AIDA 90 BO M - SORT - Convenience køler - BAKE OFF;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 HC M;;;1.300,00;770;900;;AIDA 90 HC M - SORT - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 HC M GULD;;;1.300,00;770;900;;AIDA 90 HC M - GULD - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 HC M GULD S;;;1.300,00;770;900;;AIDA 90 HC M - GULD - Convenience køler - ombygget;Conveniencekøler;1030;Stykliste;Ja;Ja;5;0,9009
91518801;AIDA 90 HC STS;;;1.300,00;770;900;;AIDA 90 HC M - rustfri - Convenience køler - Konfekture;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SO A;;;1.300,00;770;900;;AIDA 90 SO A - SORT - Convenience - Neutral;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SO A STS;;;1.300,00;770;900;;AIDA 90 SO A - RUSTFRI - Convenience - Neutral;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SO M;;;1.300,00;770;900;;AIDA 90 SO M - SORT - Convenience køler;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SO M HC RET;;;1.300,00;770;900;;AIDA 90 SO HC RETRO - Chokolade disk - Sort - LED lys;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SO M RETRO;;;1.300,00;770;900;;AIDA 90 SO M - SORT - Convenience køler;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SS 0 STS;;;1.300,00;770;900;;AIDA 90 SS M - RUSTFRI - Convenience køler;Convenience køler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SS M;;;1.300,00;770;900;;AIDA 90 SS M HE - SORT - Convenience - Selvbetjeningskøler;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
91518801;AIDA 90 SS STS;;;1.300,00;770;900;;AIDA 90 SS M HE - RUSTFRI - Convenience -Selvbetjeningskøler;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9009
657038870;BAKE-OFF 60CM 711;;;1.340,00;750;900;;Rustfri Bake-off disk 60 cm - model 711;S866000;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 60CM OKE;;;1.340,00;750;900;;Rustfri bake-off disk 60 cm model OK;S866053;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 60CM XO;;;1.340,00;750;900;;Krom Bake-off disk 60 cm - model XO/REITAN;S866043;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM 711 S;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model 711 - S869000;869000;1030;Stykliste;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM 711E;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model 711;S869000;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM 711E S;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model 711 med afdækning;S869000;1030;Stykliste;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM EXT;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model 711 u/kompressor;S869002;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM OK;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model OK;S869053;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM OK S;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model OK med afdækning;S869053;1030;Stykliste;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM OKE;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model OK;S869053;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM OKE S;;;1.340,00;750;900;;Rustfri bake-off disk 90 cm - model OK med afdækning;S869053;1030;Stykliste;Nej;Ja;5;0,9045
657038870;BAKE-OFF 90CM XO;;;1.340,00;750;900;;Krom Bake-off disk 90 cm - model XO/REITAN;S869043;1030;Vare;Nej;Ja;5;0,9045
657038870;BAKE-OFF OPEN 90CME;;;1.340,00;750;900;;Rustfri combi disk 90 cm;S869058;1030;Vare;Nej;Ja;5;0,9045
406170001;BASSO 90;;;1.360,00;665;860;;BASSO 90 - Convenience køler - Standard;Conveniencekøler;1030;Vare;Ja;Ja;5;0,777784
406170001;BELLA 1200 9006;;;1.440,00;750;1.200,00;;BELLA 1200 SO M - GRÅ - Convenience køler 3 hylder;Convenience køler;1030;Vare;Nej;Ja;10;1,296
406170001;BELLA 600 9006;;;1.440,00;750;600;;BELLA 600 SO M - GRÅ - Convenience køler 3 hylder;Convenience køler;1030;Vare;Ja;Ja;5;0,648
406170001;BELLA 900 9006;;;1.440,00;750;900;;BELLA 900 SO M - GRÅ - Convenience køler 3 hylder;Convenience køler;1030;Vare;Ja;Ja;5;0,972
761266061;CAKETOWER 53E;;;20;355;410;;CakeTower 53-E - køletårn til kager - luft 2°;Køletårn;1030;Vare;Ja;Ja;5;0,002911
3727400664;COLLY FLOWER 1600;;;1.440,00;750;1.600,00;;COLLYFLOWER1600 - blomster køler glas 3 sider - 2 hylder;COLLY FLOWER;1030;Vare;Nej;Ja;15;1,728
3727400664;COLLY FLOWER 2000;;;1.440,00;750;2.000,00;;COLLYFLOWER2000 - blomster køler glas 3 sider - 2 hylder;COLLY FLOWER;1030;Vare;Nej;Ja;15;2,16
657038870;COMBI 90CM 711E;;;1.340,00;750;900;;Rustfri combi disk 90 cm - model 711;S869017;1030;Vare;Ja;Ja;5;0,9045
3234582958;Coolio Plus;;;1.440,00;750;900;;Coolio Plus;CoolioPlus;1030;Vare;Ja;Ja;5;0,972
3234582958;COOLIO PLUS LED;;;1.440,00;750;900;;Køleenhed;Køleenhed;1030;Vare;Ja;Ja;5;0,972
558442331;CUBE 1000 9006;;;1.324,00;725;985;;Georgia Cube 1000 - convenience køler - lige glas - basis mo;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 II 9005;;;1.324,00;725;985;;Georgia Cube 1000 - SORT - convenience køler - lige glas;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 II 9005 SP;;;1.324,00;725;985;;Georgia Cube 1000 - SORT - convenience køler - lige glas;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 II 9006;;;1.324,00;725;985;;Georgia Cube 1000 - convenience køler - lige glas;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 II SS 9005;;;1.324,00;725;985;;Georgia Cube 1000 - convenience - 9005 -lige glas self s;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 II SS 9006;;;1.324,00;725;985;;Georgia Cube 1000 - convenience køler-lige glas self service;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 II SS 9010;;;1.324,00;725;985;;Georgia Cube 1000 - convenience køler-self service - hvid gl;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
558442331;CUBE 1000 INOX;;;1.324,00;725;985;;Georgia Cube 1000 - convenience køler - lige glas - basis mo;Conveniencekøler;1030;Vare;Ja;Ja;5;0,9455015
